,SigUF,AnmPeriodoReferencia,MdaPotenciaInstaladaKW
0,AC,06/2023,915
1,AC,07/2023,945
2,AC,08/2023,988
3,AC,09/2023,945
4,AC,10/2023,948
5,AL,06/2023,3939
6,AL,07/2023,4058
7,AL,08/2023,3968
8,AL,09/2023,4002
9,AL,10/2023,4051
10,AM,06/2023,1445
11,AM,07/2023,1447
12,AM,08/2023,1408
13,AM,09/2023,1440
14,AM,10/2023,1404
15,AP,06/2023,502
16,AP,07/2023,476
17,AP,08/2023,559
18,AP,09/2023,553
19,AP,10/2023,546
20,BA,06/2023,173
21,BA,07/2023,173
22,BA,08/2023,143
23,BA,09/2023,162
24,BA,10/2023,164
25,SP,06/2023,1
